id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
672,4645,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
673,4646,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
674,4646,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
675,4647,NULL,628-01,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
676,4647,NULL,704-01,Revenue,"[ICR, INV, XICR, XINV]",[]
677,4650,NULL,7583,Revenue,"[ICR, INV, JOE, RRD, XICR, XINV, YEND]",[]
678,4652,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
679,4653,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
680,4655,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
681,4657,NULL,628-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
682,4663,NULL,708,Revenue,"[ICR, INV, XICR, XINV]",[]
683,4664,NULL,6581-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
684,4670,NULL,628-20,Expense,"[JOE, RRD, YEND]",[]
685,4671,NULL,628-20,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
686,4671,NULL,704-20,Revenue,"[ICR, INV, XICR, XINV]",[]
687,4675,NULL,612-1,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
688,4677,NULL,6588-01,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
689,4678,NULL,617,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
690,4678,NULL,704-20,Revenue,"[ICR, INV, XICR, XINV]",[]
691,4690,NULL,765,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]",[]
692,4691,NULL,665,Expense,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]",[]
693,4691,NULL,921-02,Expense,[ES],[]
694,4692,NULL,765-01,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
695,4693,NULL,765-01,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
696,4694,NULL,665,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
697,4695,NULL,765,Revenue,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
698,4696,NULL,665,Expense,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, YEND]",[]
699,4700,NULL,665,Expense,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR]",[]
700,4701,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
701,4701,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
702,4702,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
703,4702,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
704,4703,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
705,4703,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
706,4704,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
707,4704,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
708,4705,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
709,4705,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
710,4706,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
